Model,TBS2102B
Firmware Version,v1.32.139

Point Format,Y,
Horizontal Units,S,
Horizontal Scale,1,
Sample Interval,0.008,
Filter Frequency,2e+08,
Record Length,2000,
Gating,0.0% to 100.0%,0.0% to 100.0%
Probe Attenuation,1,1
Vertical Units,V,V
Vertical Offset,0,0
Vertical Scale,10,1
Label,,
TIME,CH1,CH2
-8.000e+00,7,0.02
-7.992e+00,6.6,0.02
-7.984e+00,6.6,0.06
-7.976e+00,6.6,0.06
-7.968e+00,6.6,0.06
-7.960e+00,6.6,0.06
-7.952e+00,6.6,0.06
-7.944e+00,6.6,0.06
-7.936e+00,6.6,0.06
-7.928e+00,6.6,0.1
-7.920e+00,6.6,0.06
-7.912e+00,6.6,0.06
-7.904e+00,6.6,0.06
-7.896e+00,6.6,0.06
-7.888e+00,7,0.06
-7.880e+00,6.6,0.06
-7.872e+00,6.6,0.06
-7.864e+00,6.6,0.06
-7.856e+00,6.6,0.02
-7.848e+00,6.6,0.06
-7.840e+00,7,0.06
-7.832e+00,7,0.06
-7.824e+00,6.6,0.06
-7.816e+00,6.6,0.06
-7.808e+00,6.6,0.06
-7.800e+00,6.6,0.06
-7.792e+00,6.6,0.06
-7.784e+00,6.6,0.06
-7.776e+00,7,0.02
-7.768e+00,6.6,0.06
-7.760e+00,6.6,0.06
-7.752e+00,6.6,0.02
-7.744e+00,6.6,0.02
-7.736e+00,7,0.06
-7.728e+00,7,0.06
-7.720e+00,6.6,0.06
-7.712e+00,7,0.06
-7.704e+00,7,0.06
-7.696e+00,7,0.06
-7.688e+00,7,0.06
-7.680e+00,7,0.06
-7.672e+00,7,0.06
-7.664e+00,7,0.06
-7.656e+00,7,0.06
-7.648e+00,7,0.06
-7.640e+00,7,0.06
-7.632e+00,7,0.06
-7.624e+00,7,0.02
-7.616e+00,7,0.1
-7.608e+00,7,0.06
-7.600e+00,7,0.06
-7.592e+00,7,0.06
-7.584e+00,7.4,0.06
-7.576e+00,7,0.06
-7.568e+00,7,0.02
-7.560e+00,7.4,0.06
-7.552e+00,7,0.06
-7.544e+00,7,0.02
-7.536e+00,7,0.06
-7.528e+00,7,0.06
-7.520e+00,7,0.06
-7.512e+00,7,0.06
-7.504e+00,7,0.06
-7.496e+00,7,0.02
-7.488e+00,7.4,0.06
-7.480e+00,7,0.02
-7.472e+00,7,0.06
-7.464e+00,7,0.06
-7.456e+00,7,0.06
-7.448e+00,7,0.06
-7.440e+00,7,0.02
-7.432e+00,7,0.06
-7.424e+00,7,0.06
-7.416e+00,7,0.06
-7.408e+00,7,0.02
-7.400e+00,7.4,0.06
-7.392e+00,7,0.02
-7.384e+00,7,0.06
-7.376e+00,7,0.06
-7.368e+00,7.4,0.02
-7.360e+00,7,0.06
-7.352e+00,7,0.06
-7.344e+00,7,0.06
-7.336e+00,7,0.06
-7.328e+00,7.4,0.06
-7.320e+00,7,0.06
-7.312e+00,7.4,0.06
-7.304e+00,7.4,0.06
-7.296e+00,7.4,0.06
-7.288e+00,7.4,0.06
-7.280e+00,7,0.06
-7.272e+00,7,0.06
-7.264e+00,7,0.02
-7.256e+00,7.4,0.02
-7.248e+00,7.4,0.06
-7.240e+00,7.4,0.06
-7.232e+00,7.4,0.02
-7.224e+00,7.4,0.02
-7.216e+00,7.4,0.06
-7.208e+00,7.4,0.02
-7.200e+00,7.4,0.06
-7.192e+00,7.4,0.06
-7.184e+00,7.4,0.06
-7.176e+00,7.4,0.06
-7.168e+00,7.4,0.02
-7.160e+00,7.4,0.06
-7.152e+00,7.4,0.06
-7.144e+00,7.4,0.06
-7.136e+00,7.4,0.02
-7.128e+00,7.4,0.06
-7.120e+00,7.8,0.06
-7.112e+00,7.4,0.06
-7.104e+00,7.4,0.06
-7.096e+00,7.4,0.06
-7.088e+00,7.4,0.06
-7.080e+00,7.4,0.06
-7.072e+00,7.4,0.06
-7.064e+00,7.4,0.06
-7.056e+00,7.4,0.06
-7.048e+00,7.4,0.06
-7.040e+00,7.4,0.06
-7.032e+00,7.4,0.06
-7.024e+00,7.4,0.06
-7.016e+00,7.4,0.06
-7.008e+00,7.4,0.1
-7.000e+00,7.4,0.06
-6.992e+00,7.4,0.06
-6.984e+00,7.4,0.06
-6.976e+00,7.8,0.06
-6.968e+00,7.4,0.06
-6.960e+00,7.4,0.06
-6.952e+00,7.8,0.06
-6.944e+00,7.4,0.06
-6.936e+00,7.8,0.06
-6.928e+00,7.8,0.06
-6.920e+00,7.4,0.06
-6.912e+00,7.8,0.06
-6.904e+00,7.8,0.06
-6.896e+00,7.8,0.06
-6.888e+00,7.8,0.06
-6.880e+00,7.8,0.06
-6.872e+00,7.8,0.06
-6.864e+00,7.8,0.06
-6.856e+00,7.8,0.06
-6.848e+00,7.4,0.06
-6.840e+00,7.8,0.06
-6.832e+00,7.8,0.06
-6.824e+00,7.8,0.02
-6.816e+00,7.8,0.06
-6.808e+00,7.8,0.06
-6.800e+00,7.8,0.06
-6.792e+00,7.8,0.06
-6.784e+00,7.8,0.06
-6.776e+00,7.8,0.06
-6.768e+00,8.2,0.06
-6.760e+00,7.8,0.06
-6.752e+00,7.8,0.06
-6.744e+00,7.8,0.06
-6.736e+00,7.8,0.06
-6.728e+00,7.8,0.06
-6.720e+00,7.8,0.06
-6.712e+00,7.8,0.06
-6.704e+00,7.8,0.06
-6.696e+00,7.8,0.06
-6.688e+00,7.8,0.06
-6.680e+00,7.8,0.06
-6.672e+00,7.8,0.06
-6.664e+00,7.8,0.06
-6.656e+00,7.8,0.06
-6.648e+00,7.8,0.06
-6.640e+00,7.8,0.06
-6.632e+00,8.2,0.02
-6.624e+00,7.8,0.06
-6.616e+00,7.8,0.06
-6.608e+00,7.8,0.02
-6.600e+00,7.8,0.06
-6.592e+00,7.8,0.02
-6.584e+00,7.8,0.06
-6.576e+00,7.8,0.02
-6.568e+00,8.2,0.06
-6.560e+00,7.8,0.06
-6.552e+00,8.2,0.06
-6.544e+00,7.8,0.06
-6.536e+00,7.8,0.06
-6.528e+00,7.8,0.06
-6.520e+00,7.8,0.06
-6.512e+00,8.2,0.06
-6.504e+00,8.2,0.06
-6.496e+00,7.8,0.06
-6.488e+00,7.8,0.06
-6.480e+00,8.2,0.06
-6.472e+00,8.2,0.06
-6.464e+00,8.2,0.06
-6.456e+00,7.8,0.06
-6.448e+00,8.2,0.06
-6.440e+00,7.8,0.06
-6.432e+00,8.2,0.06
-6.424e+00,8.2,0.06
-6.416e+00,8.2,0.06
-6.408e+00,8.2,0.06
-6.400e+00,8.2,0.06
-6.392e+00,8.2,0.06
-6.384e+00,8.2,0.06
-6.376e+00,8.2,0.06
-6.368e+00,8.2,0.06
-6.360e+00,8.2,0.02
-6.352e+00,8.6,0.02
-6.344e+00,8.6,0.02
-6.336e+00,8.2,0.02
-6.328e+00,8.2,0.06
-6.320e+00,8.2,0.06
-6.312e+00,8.2,0.06
-6.304e+00,8.2,0.06
-6.296e+00,8.2,0.02
-6.288e+00,8.2,0.06
-6.280e+00,8.2,0.06
-6.272e+00,8.2,0.06
-6.264e+00,8.2,0.06
-6.256e+00,8.2,0.06
-6.248e+00,8.2,0.06
-6.240e+00,8.2,0.06
-6.232e+00,8.2,0.06
-6.224e+00,8.2,0.02
-6.216e+00,8.2,0.06
-6.208e+00,8.2,0.06
-6.200e+00,8.2,0.06
-6.192e+00,8.2,0.06
-6.184e+00,8.2,0.06
-6.176e+00,8.2,0.06
-6.168e+00,8.2,0.02
-6.160e+00,8.6,0.06
-6.152e+00,8.2,0.06
-6.144e+00,8.2,0.06
-6.136e+00,8.2,0.06
-6.128e+00,8.2,0.06
-6.120e+00,8.2,0.06
-6.112e+00,8.2,0.06
-6.104e+00,8.2,0.06
-6.096e+00,8.2,0.06
-6.088e+00,8.2,0.06
-6.080e+00,8.2,0.02
-6.072e+00,8.2,0.06
-6.064e+00,8.2,0.06
-6.056e+00,8.2,0.06
-6.048e+00,8.2,0.06
-6.040e+00,8.6,0.02
-6.032e+00,8.6,0.06
-6.024e+00,8.6,0.06
-6.016e+00,8.2,0.06
-6.008e+00,8.2,0.06
-6.000e+00,8.6,0.02
-5.992e+00,8.2,0.06
-5.984e+00,8.2,0.06
-5.976e+00,8.6,0.06
-5.968e+00,8.6,0.06
-5.960e+00,8.6,0.06
-5.952e+00,8.6,0.02
-5.944e+00,8.6,0.06
-5.936e+00,8.6,0.02
-5.928e+00,8.6,0.06
-5.920e+00,8.6,0.06
-5.912e+00,8.6,0.06
-5.904e+00,8.6,0.06
-5.896e+00,8.6,0.06
-5.888e+00,8.6,0.06
-5.880e+00,8.2,0.02
-5.872e+00,8.6,0.06
-5.864e+00,8.6,0.02
-5.856e+00,9,0.06
-5.848e+00,9,0.06
-5.840e+00,8.6,0.06
-5.832e+00,8.6,0.02
-5.824e+00,8.6,0.06
-5.816e+00,9,0.06
-5.808e+00,8.6,0.02
-5.800e+00,8.6,0.06
-5.792e+00,8.6,0.06
-5.784e+00,9,0.06
-5.776e+00,8.6,0.06
-5.768e+00,9,0.02
-5.760e+00,8.6,0.06
-5.752e+00,8.6,0.06
-5.744e+00,8.6,0.06
-5.736e+00,8.6,0.06
-5.728e+00,8.6,0.02
-5.720e+00,9,0.02
-5.712e+00,8.6,0.06
-5.704e+00,8.6,0.02
-5.696e+00,8.6,0.02
-5.688e+00,8.6,0.06
-5.680e+00,8.6,0.06
-5.672e+00,8.6,0.06
-5.664e+00,8.6,0.06
-5.656e+00,8.6,0.06
-5.648e+00,9,0.06
-5.640e+00,8.6,0.02
-5.632e+00,8.6,0.06
-5.624e+00,9,0.02
-5.616e+00,8.6,0.06
-5.608e+00,9,0.06
-5.600e+00,8.6,0.06
-5.592e+00,9,0.06
-5.584e+00,9,0.06
-5.576e+00,9,0.06
-5.568e+00,9,0.06
-5.560e+00,9,0.06
-5.552e+00,9,0.06
-5.544e+00,9,0.02
-5.536e+00,9,0.06
-5.528e+00,9,0.06
-5.520e+00,9.4,0.06
-5.512e+00,9,0.06
-5.504e+00,9,0.06
-5.496e+00,9,0.06
-5.488e+00,8.6,0.06
-5.480e+00,9,0.06
-5.472e+00,9,0.06
-5.464e+00,9.4,0.06
-5.456e+00,9,0.06
-5.448e+00,9,0.02
-5.440e+00,9,0.02
-5.432e+00,9,0.06
-5.424e+00,9,0.06
-5.416e+00,9,0.06
-5.408e+00,9,0.06
-5.400e+00,9,0.06
-5.392e+00,9,0.06
-5.384e+00,9,0.06
-5.376e+00,9,0.06
-5.368e+00,9,0.02
-5.360e+00,9.4,0.06
-5.352e+00,9,0.06
-5.344e+00,9,0.06
-5.336e+00,9,0.06
-5.328e+00,9,0.06
-5.320e+00,9,0.06
-5.312e+00,9,0.02
-5.304e+00,9,0.06
-5.296e+00,9,0.06
-5.288e+00,9.4,0.06
-5.280e+00,9,0.02
-5.272e+00,9,0.02
-5.264e+00,9,0.06
-5.256e+00,9,0.02
-5.248e+00,9,0.06
-5.240e+00,9,0.06
-5.232e+00,9,0.06
-5.224e+00,9.4,0.06
-5.216e+00,9,0.06
-5.208e+00,9,0.06
-5.200e+00,9.4,0.06
-5.192e+00,9,0.06
-5.184e+00,9,0.06
-5.176e+00,9.4,0.06
-5.168e+00,9.4,0.06
-5.160e+00,9,0.06
-5.152e+00,9,0.06
-5.144e+00,9.4,0.06
-5.136e+00,9.4,0.06
-5.128e+00,9.4,0.06
-5.120e+00,9.4,0.06
-5.112e+00,9.4,0.06
-5.104e+00,9.4,0.06
-5.096e+00,9.4,0.06
-5.088e+00,9.4,0.06
-5.080e+00,9.4,0.06
-5.072e+00,9.4,0.06
-5.064e+00,9.4,0.06
-5.056e+00,9.4,0.06
-5.048e+00,9.4,0.06
-5.040e+00,9.8,0.02
-5.032e+00,9.4,0.06
-5.024e+00,9.8,0.06
-5.016e+00,9.4,0.02
-5.008e+00,9.8,0.06
-5.000e+00,9.4,0.06
-4.992e+00,9.4,0.06
-4.984e+00,9.4,0.06
-4.976e+00,9.4,0.06
-4.968e+00,9.4,0.06
-4.960e+00,9.4,0.06
-4.952e+00,9.4,0.02
-4.944e+00,9.4,0.06
-4.936e+00,9.4,0.02
-4.928e+00,9.4,0.02
-4.920e+00,9.8,0.06
-4.912e+00,9.4,0.06
-4.904e+00,9.8,0.02
-4.896e+00,9.4,0.06
-4.888e+00,9.4,0.06
-4.880e+00,9.4,0.06
-4.872e+00,9.8,0.06
-4.864e+00,9.4,0.06
-4.856e+00,9.8,0.06
-4.848e+00,9.4,0.02
-4.840e+00,9.8,0.06
-4.832e+00,9.4,0.06
-4.824e+00,9.4,0.06
-4.816e+00,9.4,0.06
-4.808e+00,9.4,0.06
-4.800e+00,9.8,0.06
-4.792e+00,9.4,0.06
-4.784e+00,9.8,0.02
-4.776e+00,9.8,0.06
-4.768e+00,9.8,0.06
-4.760e+00,9.8,0.06
-4.752e+00,9.4,0.06
-4.744e+00,9.8,0.06
-4.736e+00,9.8,0.06
-4.728e+00,9.8,0.06
-4.720e+00,9.8,0.02
-4.712e+00,9.4,0.06
-4.704e+00,9.8,0.06
-4.696e+00,10.2,0.06
-4.688e+00,9.8,0.02
-4.680e+00,9.8,0.02
-4.672e+00,9.8,0.06
-4.664e+00,9.8,0.06
-4.656e+00,9.8,-2.38
-4.648e+00,9.4,-2.38
-4.640e+00,9.4,-2.38
-4.632e+00,9.4,-2.38
-4.624e+00,9.4,-2.38
-4.616e+00,9.4,-2.38
-4.608e+00,9.4,-2.38
-4.600e+00,9,-2.38
-4.592e+00,8.6,-2.38
-4.584e+00,8.6,-2.38
-4.576e+00,8.6,-2.38
-4.568e+00,8.6,-2.38
-4.560e+00,8.6,-2.38
-4.552e+00,8.2,-2.38
-4.544e+00,8.2,-2.38
-4.536e+00,8.2,-2.38
-4.528e+00,8.2,-2.38
-4.520e+00,7.8,-2.38
-4.512e+00,7.8,-2.38
-4.504e+00,7.8,-2.38
-4.496e+00,7.8,-2.38
-4.488e+00,7.8,-2.38
-4.480e+00,7.8,-2.38
-4.472e+00,7.4,-2.38
-4.464e+00,7.4,-2.38
-4.456e+00,7.4,-2.38
-4.448e+00,7,-2.38
-4.440e+00,7,-2.38
-4.432e+00,7,-2.38
-4.424e+00,7,-2.38
-4.416e+00,6.6,-2.38
-4.408e+00,6.6,-2.38
-4.400e+00,6.6,-2.38
-4.392e+00,6.6,-2.38
-4.384e+00,6.6,-2.38
-4.376e+00,6.6,-2.38
-4.368e+00,6.2,-2.38
-4.360e+00,6.2,-2.38
-4.352e+00,5.8,-2.38
-4.344e+00,6.2,-2.38
-4.336e+00,5.8,-2.38
-4.328e+00,5.8,-2.38
-4.320e+00,5.8,-2.38
-4.312e+00,5.8,-2.38
-4.304e+00,5.4,-2.38
-4.296e+00,5.8,-2.38
-4.288e+00,5.4,-2.38
-4.280e+00,5,-2.38
-4.272e+00,5,-2.38
-4.264e+00,5,-2.38
-4.256e+00,5,-2.38
-4.248e+00,5,-2.38
-4.240e+00,4.6,-2.38
-4.232e+00,4.6,-2.38
-4.224e+00,4.6,-2.38
-4.216e+00,4.6,-2.38
-4.208e+00,4.6,-2.38
-4.200e+00,4.2,-2.38
-4.192e+00,4.6,-2.38
-4.184e+00,4.2,-2.38
-4.176e+00,4.2,-2.38
-4.168e+00,3.8,-2.38
-4.160e+00,3.8,-2.38
-4.152e+00,3.8,-2.38
-4.144e+00,3.4,-2.38
-4.136e+00,3.4,-2.38
-4.128e+00,3.8,-2.38
-4.120e+00,3,-2.38
-4.112e+00,3.4,-2.38
-4.104e+00,3,-2.38
-4.096e+00,3,-2.38
-4.088e+00,3,-2.38
-4.080e+00,2.6,-2.38
-4.072e+00,2.6,-2.38
-4.064e+00,2.6,-2.38
-4.056e+00,2.6,-2.38
-4.048e+00,2.6,-2.38
-4.040e+00,2.2,-2.38
-4.032e+00,2.2,-2.38
-4.024e+00,2.2,-2.38
-4.016e+00,1.8,-2.38
-4.008e+00,1.8,-2.38
-4.000e+00,2.2,-2.38
-3.992e+00,1.8,-2.38
-3.984e+00,1.8,-2.38
-3.976e+00,1.8,-2.38
-3.968e+00,1.4,-2.38
-3.960e+00,1.4,-2.38
-3.952e+00,1.4,-2.38
-3.944e+00,1.4,-2.38
-3.936e+00,1,-2.38
-3.928e+00,1,-2.38
-3.920e+00,0.6,-2.38
-3.912e+00,0.6,-2.38
-3.904e+00,1,-2.38
-3.896e+00,0.6,-2.38
-3.888e+00,0.6,-2.38
-3.880e+00,0.2,-2.38
-3.872e+00,0.6,-2.38
-3.864e+00,0.6,-2.38
-3.856e+00,-0.2,-2.38
-3.848e+00,-0.2,-2.38
-3.840e+00,-0.2,-2.38
-3.832e+00,-0.2,-2.38
-3.824e+00,-0.2,0.1
-3.816e+00,-0.2,0.06
-3.808e+00,-0.2,0.1
-3.800e+00,0.2,0.1
-3.792e+00,-0.2,0.06
-3.784e+00,-0.2,0.06
-3.776e+00,-0.2,0.06
-3.768e+00,-0.2,0.1
-3.760e+00,-0.2,0.1
-3.752e+00,-0.2,0.06
-3.744e+00,0.2,0.06
-3.736e+00,-0.2,0.1
-3.728e+00,-0.2,0.06
-3.720e+00,0.2,0.1
-3.712e+00,-0.2,0.1
-3.704e+00,0.2,0.06
-3.696e+00,-0.2,0.1
-3.688e+00,-0.2,0.06
-3.680e+00,-0.2,0.06
-3.672e+00,-0.2,0.06
-3.664e+00,-0.2,0.06
-3.656e+00,0.2,0.02
-3.648e+00,-0.2,0.06
-3.640e+00,-0.2,0.06
-3.632e+00,-0.2,0.06
-3.624e+00,-0.2,0.06
-3.616e+00,-0.2,0.06
-3.608e+00,0.2,0.06
-3.600e+00,-0.2,0.06
-3.592e+00,0.2,0.1
-3.584e+00,0.2,0.1
-3.576e+00,0.2,0.1
-3.568e+00,0.2,0.06
-3.560e+00,0.2,0.06
-3.552e+00,0.2,0.1
-3.544e+00,0.2,0.1
-3.536e+00,0.2,0.1
-3.528e+00,0.2,0.1
-3.520e+00,0.2,0.06
-3.512e+00,0.2,0.1
-3.504e+00,0.2,0.1
-3.496e+00,0.2,0.1
-3.488e+00,0.2,0.06
-3.480e+00,0.2,0.1
-3.472e+00,0.2,0.06
-3.464e+00,0.2,0.1
-3.456e+00,0.2,0.1
-3.448e+00,0.2,0.06
-3.440e+00,0.2,0.1
-3.432e+00,0.2,0.06
-3.424e+00,0.2,0.06
-3.416e+00,0.2,0.06
-3.408e+00,0.2,0.1
-3.400e+00,0.2,0.1
-3.392e+00,0.2,0.06
-3.384e+00,0.6,0.06
-3.376e+00,0.6,0.06
-3.368e+00,0.2,0.06
-3.360e+00,0.2,0.1
-3.352e+00,0.2,0.06
-3.344e+00,0.2,0.06
-3.336e+00,0.2,0.06
-3.328e+00,0.2,0.06
-3.320e+00,0.2,0.06
-3.312e+00,0.2,0.06
-3.304e+00,0.2,0.06
-3.296e+00,0.2,0.1
-3.288e+00,0.2,0.06
-3.280e+00,0.2,0.06
-3.272e+00,0.2,0.06
-3.264e+00,0.2,0.06
-3.256e+00,0.2,0.1
-3.248e+00,0.6,0.06
-3.240e+00,0.2,0.1
-3.232e+00,0.2,0.06
-3.224e+00,0.6,0.06
-3.216e+00,0.2,0.06
-3.208e+00,0.2,0.1
-3.200e+00,0.2,0.06
-3.192e+00,0.6,0.06
-3.184e+00,0.2,0.06
-3.176e+00,0.6,0.06
-3.168e+00,0.6,0.06
-3.160e+00,0.2,0.06
-3.152e+00,0.2,0.06
-3.144e+00,0.6,0.06
-3.136e+00,0.6,0.06
-3.128e+00,0.6,0.06
-3.120e+00,0.6,0.02
-3.112e+00,0.6,0.06
-3.104e+00,0.6,0.06
-3.096e+00,0.6,0.06
-3.088e+00,0.6,0.06
-3.080e+00,0.6,0.1
-3.072e+00,0.6,0.06
-3.064e+00,0.6,0.1
-3.056e+00,0.6,0.1
-3.048e+00,0.6,0.1
-3.040e+00,0.6,0.1
-3.032e+00,0.6,0.1
-3.024e+00,1,0.1
-3.016e+00,0.6,0.1
-3.008e+00,0.6,0.06
-3.000e+00,0.6,0.1
-2.992e+00,0.6,0.1
-2.984e+00,0.6,0.1
-2.976e+00,0.6,0.1
